era,period,epoch,name,max_age,min_age,abbr,color,lab_color
Paleozoic,Carboniferous,Mississippian,Serpukhovian,330.3,323.4,Srp,#BFC26B,black
Paleozoic,Carboniferous,Mississippian,Visean,346.7,330.3,Vs,#A6B96C,black
Paleozoic,Carboniferous,Mississippian,Tournaisian,358.86,346.7,Trns,#8CB06C,black
Paleozoic,Devonian,Late Devonian,Famennian,372.15,358.86,Fm,#F2EDC5,black
Paleozoic,Devonian,Late Devonian,Frasnian,382.31,372.15,Frs,#F2EDAD,black
Paleozoic,Devonian,Middle Devonian,Givetian,387.95,382.31,Gv,#F1E185,black
Paleozoic,Devonian,Middle Devonian,Eifelian,393.47,387.95,Ef,#F1D576,black
Paleozoic,Devonian,Early Devonian,Emsian,410.62,393.47,Em,#E5D075,black
Paleozoic,Devonian,Early Devonian,Pragian,413.02,410.62,Prg,#E5C468,black
Paleozoic,Devonian,Early Devonian,Lochkovian,419.62,413.02,Lc,#E5B75A,black
Paleozoic,Silurian,Pridoli,Pridoli,422.7,419.62,Prd,#E6F5E1,black
Paleozoic,Silurian,Ludlow,Ludfordian,425,422.7,Ldf,#D9F0DF,black
Paleozoic,Silurian,Ludlow,Gorstian,426.7,425,Grs,#CCECDD,black
Paleozoic,Silurian,Wenlock,Homerian,430.6,426.7,Hm,#CCEBD1,black
Paleozoic,Silurian,Wenlock,Sheinwoodian,432.9,430.6,Sh,#BFE6C3,black
Paleozoic,Silurian,Llandovery,Telychian,438.6,432.9,Tl,#BFE6CF,black
Paleozoic,Silurian,Llandovery,Aeronian,440.5,438.6,Arn,#B3E1C2,black
Paleozoic,Silurian,Llandovery,Rhuddanian,443.1,440.5,Rhd,#A6DCB5,black
Paleozoic,Ordovician,Late Ordovician,Hirnantian,445.2,443.1,Hr,#A6DBAB,black
Paleozoic,Ordovician,Late Ordovician,Katian,452.8,445.2,Kt,#99D69F,black
Paleozoic,Ordovician,Late Ordovician,Sandbian,458.2,452.8,Snd,#8CD094,black
Paleozoic,Ordovician,Middle Ordovician,Darriwilian,469.4,458.2,Drr,#74C69C,black
Paleozoic,Ordovician,Middle Ordovician,Dapingian,471.3,469.4,Dp,#66C092,black
Paleozoic,Ordovician,Early Ordovician,Floian,477.1,471.3,Fl,#41B087,black
Paleozoic,Ordovician,Early Ordovician,Tremadocian,486.85,477.1,Trm,#33A97E,black
Paleozoic,Cambrian,Furongian,Stage 10,491,486.85,S10,#E6F5C9,black
Paleozoic,Cambrian,Furongian,Jiangshanian,494.2,491,J,#D9F0BB,black
Paleozoic,Cambrian,Furongian,Paibian,497,494.2,Pb,#CCEBAE,black
