"Era","Period","Epoch","Age","age_bottom","age_top","age_mid"
"Paleozoic","Silurian","Wenlock","Sheinwoodian",432.93,430.62,431.775
"Paleozoic","Silurian","Llandovery","Telychian",438.59,432.93,435.76
"Paleozoic","Silurian","Llandovery","Aeronian",440.49,438.59,439.54
"Paleozoic","Silurian","Llandovery","Rhuddanian",443.07,440.49,441.78
"Paleozoic","Ordovician","Late Ordovician","Hirnantian",445.21,443.07,444.14
"Paleozoic","Ordovician","Late Ordovician","Katian",452.75,445.21,448.98
"Paleozoic","Ordovician","Late Ordovician","Sandbian",458.18,452.75,455.465
"Paleozoic","Ordovician","Middle Ordovician","Darriwilian",469.42,458.18,463.8
"Paleozoic","Ordovician","Middle Ordovician","Dapingian",471.26,469.42,470.34
"Paleozoic","Ordovician","Early Ordovician","Floian",477.08,471.26,474.17
"Paleozoic","Ordovician","Early Ordovician","Tremadocian",485.85,477.08,481.465
"Paleozoic","Cambrian","Furongian","Stage 10",491,486.85,488.925
"Paleozoic","Cambrian","Furongian","Jiangshanian",494.2,491,492.6
"Paleozoic","Cambrian","Furongian","Paibian",497,494.2,495.6
"Paleozoic","Cambrian","Miaolingian","Guzhangian",500.5,497,498.75
"Paleozoic","Cambrian","Miaolingian","Drumian",504.5,500.5,502.5
"Paleozoic","Cambrian","Miaolingian","Wulian",509,504.5,506.75
"Paleozoic","Cambrian","Series 2","Stage 4",514.5,509,511.75
"Paleozoic","Cambrian","Series 2","Stage 3",521,514.5,517.75
"Paleozoic","Cambrian","Terreneuvian","Stage 2",529,521,525
"Paleozoic","Cambrian","Terreneuvian","Fortunian",538.8,529,533.9
"Neoproterozoic","Ediacaran","","Ediacaran",635,538.8,586.9
"Neoproterozoic","Cryogenian","","Cryogenian",720,635,677.5
"Neoproterozoic","Tonian","","Tonian",1000,720,860
