"interval_no","color","Era","Period","Epoch","interval_name","age_bottom","age_top","age_mid"
51,"#C7CBB9","Paleozoic","Carboniferous","Pennsylvanian","Moscovian",315.2,307,311.1
52,"#99C2B5","Paleozoic","Carboniferous","Pennsylvanian","Bashkirian",323.4,315.2,319.3
53,"#BFC26B","Paleozoic","Carboniferous","Mississippian","Serpukhovian",330.3,323.4,326.85
54,"#A6B96C","Paleozoic","Carboniferous","Mississippian","Visean",346.7,330.3,338.5
55,"#8CB06C","Paleozoic","Carboniferous","Mississippian","Tournaisian",358.86,346.7,352.78
177,"#F2EDC5","Paleozoic","Devonian","Late Devonian","Famennian",372.15,358.86,365.505
178,"#F2EDAD","Paleozoic","Devonian","Late Devonian","Frasnian",382.31,372.15,377.23
179,"#F1E185","Paleozoic","Devonian","Middle Devonian","Givetian",387.95,382.31,385.13
180,"#F1D576","Paleozoic","Devonian","Middle Devonian","Eifelian",393.47,387.95,390.71
181,"#E5D075","Paleozoic","Devonian","Early Devonian","Emsian",410.62,393.47,402.045
182,"#E5C468","Paleozoic","Devonian","Early Devonian","Pragian",413.02,410.62,411.82
183,"#E5B75A","Paleozoic","Devonian","Early Devonian","Lochkovian",419.62,413.02,416.32
59,"#E6F5E1","Paleozoic","Silurian","Pridoli","Pridoli",422.7,419.62,421.16
184,"#D9F0DF","Paleozoic","Silurian","Ludlow","Ludfordian",425,422.7,423.85
185,"#CCECDD","Paleozoic","Silurian","Ludlow","Gorstian",426.7,425,425.85
785,"#CCEBD1","Paleozoic","Silurian","Wenlock","Homerian",430.6,426.7,428.65
188,"#BFE6C3","Paleozoic","Silurian","Wenlock","Sheinwoodian",432.9,430.6,431.75
189,"#BFE6CF","Paleozoic","Silurian","Llandovery","Telychian",438.6,432.9,435.75
190,"#B3E1C2","Paleozoic","Silurian","Llandovery","Aeronian",440.5,438.6,439.55
191,"#A6DCB5","Paleozoic","Silurian","Llandovery","Rhuddanian",443.1,440.5,441.8
